,mpg,displacement,horsepower,weight,acceleration,model year,c1,c2,c3,c4,c5,o1,o2,o3
0,18.0,307.0,130.0,3504.0,12.0,70,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,15.0,350.0,165.0,3693.0,11.5,70,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,18.0,318.0,150.0,3436.0,11.0,70,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,16.0,304.0,150.0,3433.0,12.0,70,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4,17.0,302.0,140.0,3449.0,10.5,70,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5,15.0,429.0,198.0,4341.0,10.0,70,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6,14.0,454.0,220.0,4354.0,9.0,70,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7,14.0,440.0,215.0,4312.0,8.5,70,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8,14.0,455.0,225.0,4425.0,10.0,70,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
9,15.0,390.0,190.0,3850.0,8.5,70,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
10,15.0,383.0,170.0,3563.0,10.0,70,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
11,14.0,340.0,160.0,3609.0,8.0,70,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
12,15.0,400.0,150.0,3761.0,9.5,70,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
13,14.0,455.0,225.0,3086.0,10.0,70,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
14,24.0,113.0,95.0,2372.0,15.0,70,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
15,22.0,198.0,95.0,2833.0,15.5,70,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
16,18.0,199.0,97.0,2774.0,15.5,70,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
17,21.0,200.0,85.0,2587.0,16.0,70,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
18,27.0,97.0,88.0,2130.0,14.5,70,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
